keywords,content
armyworm maize caterpillars sawdust kaduna,"According to NAERLS and IITA, Fall Armyworm (Spodoptera frugiperda) causes sawdust-like droppings in maize whorls. For low-cost local control, do not use cassava flour. Mix neem seed extract or garlic with water and a drop of local soap, then spray directly into the whorl. For severe outbreaks, use Emamectin benzoate."
yam leaves yellow green veins benue,"Yellowing yam leaves with green veins indicates Yam Mosaic Virus (YMV), which is spread by aphids. There is no chemical cure for viral infections. You must uproot and destroy the infected plants to save the rest of the farm. Next season, ensure you buy certified, virus-free seed yams or minisetts."
cassava sandy soil south east plant ridge,"Cassava is propagated using stem cuttings, never tubers. Cut healthy stems into 20-25cm lengths. For sandy soils in the South East, use drought-resistant varieties like TMS 30572 or TME 419. Plant cuttings at a 45-degree angle. Space ridges 1 metre apart, and plant stems 1 metre apart (1m x 1m spacing) for a target of 10,000 plants per hectare."
maize variety seed drought striga sammaz yield,"Use recommended drought and Striga-tolerant maize varieties like Sammaz 17 to Sammaz 39 depending on your ecology. Sammaz 21 is highly tolerant to Striga, while Sammaz 22 to 25 are drought-tolerant for the Northern Guinea Savannah."
maize plant seed spacing rate hole thin hectare,"Plant maize at a spacing of 75cm x 50cm (two plants per stand) or 75cm x 25cm (one plant per stand). Use 15 to 20kg of seeds per hectare. Plant 3 seeds per hole and thin to two plants per stand at 1 to 2 weeks after germination."
maize fertilizer npk urea apply dose weeks nutrient,"Apply fertilizer in two split doses. Apply the first dose (NPK 15-15-15) at planting or within the first week. Apply the second dose (Urea) between 4 and 5 weeks after planting. Apply in small quantities 5 to 8cm away from the plant and cover with soil to prevent nutrient loss."
maize weed striga parasite herbicide atrazine paraquat control,"Control weeds in maize using pre-emergence herbicides like Paraquat mixed with Atrazine within three days after planting. For Striga (a parasitic weed), use an integrated approach: rotate with soybeans, plant Striga-tolerant varieties, and apply recommended fertilizer rates."
maize stem borer insect pest cypermethrin damage spray,"To control stem borers in maize, apply a single properly timed spray of 100-120mls of Cypermethrin 10 EC or 80-100 mls of lamdacyhalothrin 2.5EC."
maize store weevil pest grain actellic phostoxin dry moisture,"Dry harvested maize to 10-12% moisture content. To control grain weevils, treat stored grains with Actellic (primophos methyl) 2% dust at 500g per ton. For large sack storage, use 4 to 6 Phostoxin tablets per ton under an air-tight tarpaulin (ensure it is away from living rooms as fumes are poisonous)."
cassava plant stem cutting node slanting horizontal spacing,"For cassava propagation, use 6-12 month old healthy stems. Cut into lengths with 5-7 nodes. Store stems under shade for 4-10 days before planting to speed sprouting. Plant horizontally or slanting at a 45-degree angle, not vertically. Space at 1m x 1m."
cassava fertilizer npk yield application ring,"Cassava responds well to fertilizer in poor soils. Apply 400kg/ha (8 bags) of NPK 15:15:15. Apply in a ring form around the base of the plant. You can also use 2-3 tons of poultry or cattle manure per hectare."
cassava termite white ant stem cutting dip chloropyrifos,"To control termites and white ants in cassava, dip the stem cuttings in a solution of chloropyrifos (2ml per 1 litre of water) for 5 minutes and allow to dry before planting. This also protects against cassava mealy bugs."
cassava mosaic disease virus whitefly leaf distortion yellow,"African Cassava Mosaic Disease is spread by whiteflies causing leaf distortion and vein clearing. There is no chemical cure. Use resistant varieties (like TME 419 or TMS 30572), uproot and burn infected plants."
cassava tuber harvest spoil store water moist processing,"Fresh cassava tubers contain 70% water and spoil within 3-4 days of harvest. If you cannot process immediately, cover roots with jute bags and sprinkle with water to keep moist, but process within 4 days to avoid black streaks."
teak root rot tree yellow fall leaf stump rigidoporus lignosus,"Root rot in Teak (Tectona grandis) is caused by Rigidoporus lignosus fungus living on old stumps. Leaves turn yellow and fall early. Control by removing old stumps, planting leguminous cover crops like Pueraria, or applying 2% tillex solution to the base."
nursery seedling damp pine eucalyptus die collapse water,"Damping-off disease causes sudden collapse and death of pine and eucalyptus seedlings in the nursery. It is caused by Pythium or Fusarium fungi. Prevent it by avoiding over-watering, ensuring well-drained soil mixtures, and using 50% light shade."
iroko gall mahogany borer insect pest forest tree,"For forest trees, the Iroko gall bug (Phytolyma lata) and Mahogany shoot borer (Hypsipyla robusta) are major pests. Avoid monocropping (single species plantations) and mix forest tree species to reduce pest outbreaks."
rice seed prime soak germination sprout apron star,"Treat rice seeds with Apron Star 50 DS (10g per 4kg of seed). To hasten germination (seed priming), soak seeds in cold water for 12 hours, drain, and air-dry for 2 hours before sowing. This produces vigorous plants."
rice lowland swamp variety faro flood iron,"For lowland or shallow swamp ecologies, use recommended varieties like FARO 44 (Sipi), FARO 51, FARO 52 (WITA 4), or FARO 60. For iron-toxic or water-logged areas, use FARO 15 or Suakoko 8."
rice upland variety faro nerica ofada,"For upland rice farming, recommended high-yielding varieties include FARO 46 (ITA 150), FARO 55 (NERICA 1), FARO 56 (NERICA 2), and OFADA 1 or 2."
rice fertilizer lowland swamp npk broadcast urea panicle,"For lowland rice, apply 80-30-30 NPK/ha. Apply half the Nitrogen and all Phosphorus and Potassium at planting. Broadcast the remaining Nitrogen (Urea) at 6-10 weeks after planting or at the panicle initiation stage."
rice weed striga parasite yellow stunted rotation,"Striga is a parasitic weed causing yellowing and stunted growth in upland rice. Control it using an integrated approach: rotate rice with soybean or groundnut, apply organic manure, and weed early before the Striga produces seeds."
rice blast disease fungus diamond spot white panicle,"Rice blast is a fungal disease showing diamond-shaped or spindle spots with gray centers on leaves. Prevent by avoiding excessive nitrogen fertilizer, burning diseased stubble, and spraying Mancozeb or Benlate fungicide."
rice storage paddy weevil phostoxin actellic dry moisture,"Dry rice paddy slowly to 12-14% moisture on concrete or mats (not bare floors). To protect from weevils, treat with Actellic 2.5 dust or fumigate heavily infested paddy in air-tight bags using one Phostoxin tablet per 100kg bag."
onion dry season plant seed variety wuyan bijini nursery transplant,"For dry season onion farming (Oct-Jan), use local varieties like Wuyan Bijini. Sow seeds in a nursery and transplant to the field when they are 6-8 weeks old."
onion fertilizer npk urea apply yield,"Apply about 6 bags of NPK 15:15:15 and 1.5 bags of Urea per hectare (65kg N, 40kg P, 45kg K). Apply four weeks after transplanting."
onion water irrigation dry season stress furrow,"Onions are highly sensitive to water stress. During the dry season, use furrow or basin irrigation every 5 to 7 days, applying about 350-550mm of water per season."
"Cassava mosaic disease causes leaves to twist and turn yellow. Plant resistant stems. Pidgin: Cassava mosaic disease dey make leaf twist and turn yellow. Plant cassava stems wey get resistance to avoid am.","cassava, mosaic, disease, leaf, twist, yellow, plant, stem"
"Cassava mosaic disease causes leaves to twist and turn yellow. Plant resistant stems. Hausa: Cutar sanbarka ta rogo tana sa ganye ya murde ya koma rawaya. Shuka irin rogon da ke da juriya don guje mata.","cutar, sanbarka, rogo, ganye, murde, rawaya, shuka"
"Cassava mosaic disease causes leaves to twist and turn yellow. Plant resistant stems. Igbo: Oria cassava mosaic na-eme ka akwukwo akpu gbagoo ma gbanwee odo odo. Kụọ nkpuru akpu nwere ikike iguzogide ya iji zere ya.","oria, mosaic, akpu, akwukwo, odo, kuo, nkpuru"
"Cassava mosaic disease causes leaves to twist and turn yellow. Plant resistant stems. Yoruba: Arun mosaic ege maa n je ki ewe ka ki o si yi awo pada si ofeefe. Gbin awon igi ege ti o le koju arun naa lati yago fun un.","arun, mosaic, ege, ewe, ofeefe, gbin, igi"
"Black pod disease destroys cocoa in the rain. Remove bad pods and spray copper. Pidgin: Black pod disease dey spoil cocoa fast when rain surplus. Remove the bad pods and spray copper medicine.","black, pod, disease, spoil, cocoa, rain, remove, spray, copper"
"Black pod disease destroys cocoa in the rain. Remove bad pods and spray copper. Hausa: Cutar kwasfa baka tana lalata koko da sauri a lokacin damina. Cire gurbatattun 'ya'yan kuma a fesa maganin kwari na kopa.","cutar, kwasfa, baka, lalata, koko, damina, cire, maganin"
"Black pod disease destroys cocoa in the rain. Remove bad pods and spray copper. Igbo: Oria black pod na-emebi koko ngwa ngwa n'oge udu mmiri. Wepu mkpuru ndi mebiri emebi ma gbaa ogwu kopa.","oria, pod, koko, mmiri, wepu, mkpuru, emebi, gbaa, kopa"
"Black pod disease destroys cocoa in the rain. Remove bad pods and spray copper. Yoruba: Arun koko dudu maa n ba koko je ni kiakia nigba ojo. Mu awon eso ti o ti baje kuro ki o si fun oogun kopa si i.","arun, dudu, koko, ojo, eso, baje, oogun, kopa"
"Rice stem borers kill rice from inside. Apply systemic pesticide early. Pidgin: Stem borer worm dey enter inside rice stem kill am. Apply systemic pesticide early before the worm enter deep.","stem, borer, worm, rice, kill, pesticide, deep"
"Rice stem borers kill rice from inside. Apply systemic pesticide early. Hausa: Tsutsa mai huda kara tana shiga cikin shinkafa ta kashe ta. Yi amfani da maganin kwari da wuri kafin tsutsar ta shiga ciki sosai.","tsutsa, huda, kara, shinkafa, kashe, maganin, wuri, ciki"
"Rice stem borers kill rice from inside. Apply systemic pesticide early. Igbo: Idide stem borer na-aba n'ime osisi osikapa gbuo ya. Gbaa ogwu ahuhu n'oge tupu idide aba n'ime omimi.","idide, osisi, osikapa, gbuo, ogwu, ahuhu, omimi"
"Rice stem borers kill rice from inside. Apply systemic pesticide early. Yoruba: Kokoro stem borer maa n wo inu igi iresi ki o si pa a. Lo oogun kokoro ni kutukutu ki kokoro naa to wo inu jinle.","kokoro, borer, igi, iresi, pa, oogun, jinle"
"PPR (Kata) gives goats diarrhea and cough. Vaccinate annually. Pidgin: Kata (PPR) disease dey give goat running stomach and cough. Vaccinate your goats every year to protect dem.","kata, ppr, disease, goat, running, stomach, cough, vaccinate"
"PPR (Kata) gives goats diarrhea and cough. Vaccinate annually. Hausa: Cutar PPR (Kata) tana sa awaki gudun daji da tari. Yi wa awakinku allurar riga-kafi kowace shekara don ba su kariya.","cutar, kata, ppr, awaki, gudun, daji, tari, allurar"
"PPR (Kata) gives goats diarrhea and cough. Vaccinate annually. Igbo: Oria Kata (PPR) na-ebute otoro na ukwara n'ewu. Gbaa ewu gi ogwu mgbochi kwa afo iji chebe ha.","oria, kata, ppr, otoro, ukwara, ewu, ogwu, afo"
"PPR (Kata) gives goats diarrhea and cough. Vaccinate annually. Yoruba: Arun Kata (PPR) maa n mu ki ewure ya igbe gbuuru ati iko. Fun awon ewure re ni abere ajesara lodoodun lati dabobo won.","arun, kata, ewure, igbe, iko, abere, ajesara, lodoodun"
"Striga weed drains nutrients from crops. Use crop rotation and manure. Pidgin: Striga weed dey suck food from sorghum and cowpea roots. Practice crop rotation and use organic manure to fight am.","striga, weed, suck, food, sorghum, cowpea, root, rotation, manure"
"Striga weed drains nutrients from crops. Use crop rotation and manure. Hausa: Ciyawar Kudita (Striga) tana tsotsar abinci daga asalin dawa da wake. Rika musanya shuke-shuke kuma yi amfani da takin gargajiya don yaki da ita.","ciyawar, kudita, striga, tsotsar, abinci, dawa, wake, musanya, takin"
"Striga weed drains nutrients from crops. Use crop rotation and manure. Igbo: Ahịhịa Striga na-amịcha nri na mgbọrọgwụ sorghum na agwa. Gbanwee ihe akụkụ ị na-akụ ma jiri nri anụmanụ lụso ya ọgụ.","ahihia, striga, nri, mgborogwu, agwa, kụọ, ọgụ"
"Striga weed drains nutrients from crops. Use crop rotation and manure. Yoruba: Epo Striga maa n fa ounjẹ lati gbongbo baba ati ewa. Se ayipada irugbin ki o si lo ajile eleru lati dojukọ rẹ.","epo, striga, ounje, gbongbo, ewa, irugbin, ajile"
"Coccidiosis causes bloody droppings in poultry. Keep pens dry and medicate water. Pidgin: Coccidiosis dey make chicken poop blood. Keep the poultry house dry and put anticoccidial medicine for dia water.","coccidiosis, chicken, poop, blood, poultry, dry, medicine, water"
"Coccidiosis causes bloody droppings in poultry. Keep pens dry and medicate water. Hausa: Cutar koksidiyosis tana sa kaji su yi bayan gida da jini. Tabbatar dakin kaji a bushe yake kuma a saka maganin a ruwan shansu.","cutar, kaji, bayan, gida, jini, dakin, bushe, maganin, ruwan"
"Coccidiosis causes bloody droppings in poultry. Keep pens dry and medicate water. Igbo: Oria coccidiosis na-eme ka ọkụkọ nyụọ nsị nwere ọbara. Mee ka ụlọ ọkụkọ kọọ nkụ ma tinye ogwu n'ime mmiri ọṅụṅụ ha.","oria, ọkụkọ, nsị, ọbara, ụlọ, nkụ, ogwu, mmiri"
"Coccidiosis causes bloody droppings in poultry. Keep pens dry and medicate water. Yoruba: Arun Coccidiosis maa n jẹ ki adie ya igbe ẹjẹ. Jẹ ki ile adie gbẹ ki o si fi oogun si inu omi mimu wọn.","arun, adie, igbe, ẹjẹ, ile, gbẹ, oogun, omi"
"Gasping fish indicate low pond oxygen. Change water immediately. Pidgin: If catfish dey come surface to gasp for air, oxygen don low. Change the pond water quick quick to save dem.","catfish, fish, surface, gasp, air, oxygen, pond, water, change"
"Gasping fish indicate low pond oxygen. Change water immediately. Hausa: Idan kifin tarwada na zuwa saman ruwa don shakar iska, iskar iskar shaka ta yi karanci. Canja ruwan kandami da sauri don ceto su.","kifin, tarwada, saman, ruwa, iska, karanci, canja, kandami, ceto"
"Gasping fish indicate low pond oxygen. Change water immediately. Igbo: Ọ bụrụ na azụ okpo na-arịgo n'elu iji kuo ume, ikuku oxygen adalatala. Gbanwee mmiri ọdọ ahụ ozugbo iji chekwaa ha.","azụ, okpo, elu, ume, ikuku, mmiri, ọdọ, gbanwee, chekwaa"
"Gasping fish indicate low pond oxygen. Change water immediately. Yoruba: Ti ẹja aro ba n wa si oke omi lati mi, atẹgun ti dinku. Yi omi adagun naa pada ni kiakia lati gba won la.","ẹja, aro, oke, omi, mi, atẹgun, dinku, adagun, pada"
"Store yams tied to vertical poles under shade. Pidgin: To store yam well, tie dem on vertical wooden poles for yam barn under shade. Good airflow go stop dem from rotting.","store, yam, tie, wooden, pole, barn, shade, airflow, rotting"
"Store yams tied to vertical poles under shade. Hausa: Don adana doya da kyau, ɗaure su akan dogayen itatuwa a rumfar doya ƙarƙashin inuwa. Samun iska mai kyau zai hana su rube.","adana, doya, itatuwa, rumfar, inuwa, iska, hana, rube"
"Store yams tied to vertical poles under shade. Igbo: Iji chekwaa ji nke ọma, kee ha n'osisi n'ọba ji n'okpuru ndò. Ikuku na-eku nke ọma ga-egbochi ha ire ure.","chekwaa, ji, osisi, ọba, ndò, ikuku, eku, egbochi, ure"
"Store yams tied to vertical poles under shade. Yoruba: Lati toju iṣu daradara, so wọn mọ awọn igi ni abà iṣu labẹ iboji. Afẹfẹ to dara yoo daabobo wọn kuro ninu jijẹra.","toju, iṣu, igi, abà, iboji, afẹfẹ, daabobo, jijẹra"
"Fix acidic soil with agricultural lime before planting. Pidgin: If your soil too acidic, crops no go grow well. Add agricultural lime to the soil to balance the pH before you plant.","soil, acidic, crops, grow, lime, balance, ph, plant"
"Fix acidic soil with agricultural lime before planting. Hausa: Idan ƙasarku tana da asid da yawa, amfanin gona ba zai yi girma sosai ba. Saka farar ƙasa (lime) don daidaita yanayin kafin shuka.","ƙasa, asid, gona, girma, farar, lime, daidaita, shuka"
"Fix acidic soil with agricultural lime before planting. Igbo: Ọ bụrụ na ala gị nwere asịd karịrị akarị, ihe ọkụkụ agaghị eto nke ọma. Tinye nzu ọrụ ugbo (lime) iji dozie ya tupu ị kụọ ihe.","ala, asịd, ọkụkụ, eto, nzu, ugbo, lime, dozie, kụọ"
"Fix acidic soil with agricultural lime before planting. Yoruba: Ti ilẹ rẹ ba ni asidi pupọ, awọn irugbin kii yoo dagba daradara. Fi ẹfun iṣẹ kún inu ilẹ (lime) lati ṣatunṣe rẹ ki o to gbin irugbin.","ilẹ, asidi, irugbin, dagba, ẹfun, lime, ṣatunṣe, gbin"
"Groundnut rosette virus stunts plants and yellows leaves. Plant early. Pidgin: Groundnut rosette disease dey make groundnut stunt and leaf turn yellow. Plant early and tight together to chase aphids away.","groundnut, rosette, disease, stunt, leaf, yellow, plant, early, tight, aphids"
"Groundnut rosette virus stunts plants and yellows leaves. Plant early. Hausa: Cutar gyada ta rosette tana sa gyada ta kankance kuma ganye ya koma rawaya. Shuka da wuri kuma a matse don korar kwari.","cutar, gyada, kankance, ganye, rawaya, shuka, wuri, matse, kwari"
"Groundnut rosette virus stunts plants and yellows leaves. Plant early. Igbo: Ọrịa groundnut rosette na-eme ka ahụekere ghara ito eto ma akwụkwọ ya achaa odo. Kụọ ya n'oge ma kwụkọta ha ọnụ iji chụpụ ahụhụ.","ọrịa, ahụekere, ito, akwụkwọ, odo, kụọ, oge, ahụhụ"
"Groundnut rosette virus stunts plants and yellows leaves. Plant early. Yoruba: Arun groundnut rosette maa n jẹ ki ẹpa kuro ki ewe rẹ si di ofeefe. Gbin ni kutukutu ki o si gbin wọn pọ lati le awọn kokoro lọ.","arun, ẹpa, kuro, ewe, ofeefe, gbin, kutukutu, kokoro"
"Treat plantain suckers in hot water to kill weevils. Pidgin: Before you plant plantain sucker, dip am inside hot boiling water for 30 seconds to kill weevil eggs.","plant, plantain, sucker, dip, hot, boiling, water, kill, weevil, eggs"
"Treat plantain suckers in hot water to kill weevils. Hausa: Kafin ka shuka irin ayaba, tsoma shi a cikin tafasasshen ruwan zafi na daƙiƙa 30 don kashe ƙwayoyin tsutsa.","shuka, irin, ayaba, tsoma, tafasasshen, ruwan, zafi, kashe, ƙwayoyin, tsutsa"
"Treat plantain suckers in hot water to kill weevils. Igbo: Tupu ị kụọ nwa ogede, mịnye ya n'ime mmiri ọkụ na-esi esi ruo sekọnd iri atọ iji gbuo akwa ogwu.","kụọ, nwa, ogede, mmiri, ọkụ, esi, sekọnd, gbuo, akwa, ogwu"
"Treat plantain suckers in hot water to kill weevils. Yoruba: Ki o to gbin ọmọ ọgẹdẹ, tẹ ẹ bọ inu omi gbigbona to n hó fun iṣẹju aaya 30 lati pa ẹyin kokoro.","gbin, ọmọ, ọgẹdẹ, omi, gbigbona, hó, iṣẹju, aaya, pa, ẹyin, kokoro"
"Blossom end rot in tomatoes is a calcium deficiency. Pidgin: If the bottom of your tomato dey turn black and rot, na lack of calcium. Water am well well and add egg shells to the soil.","bottom, tomato, turn, black, rot, lack, calcium, water, egg, shells, soil"
"Blossom end rot in tomatoes is a calcium deficiency. Hausa: Idan kasan tumatir ɗin ku yana yin baƙi kuma yana rubewa, karancin sinadarin calcium ne. Yawaita saka ruwa kuma ka sanya bawon kwai a ƙasa.","kasan, tumatir, baƙi, rubewa, karancin, calcium, ruwa, bawon, kwai, ƙasa"
"Blossom end rot in tomatoes is a calcium deficiency. Igbo: Ọ bụrụ na okpuru tomato gị na-agbanwe ojii ma na-ere ure, ọ bụ ụkọ calcium. Gbaa ya mmiri nke ọma ma tinye mgbụrọgwụ akwa n'ala.","okpuru, tomato, ojii, ure, ụkọ, calcium, mmiri, mgbụrọgwụ, akwa, ala"
"Blossom end rot in tomatoes is a calcium deficiency. Yoruba: Ti isalẹ tomato rẹ ba n dudu ti o si n jẹra, o jẹ aito kalisiyomu. Fun ni omi daradara ki o si fi epo ẹyin si inu ilẹ.","isalẹ, tomato, dudu, jẹra, aito, kalisiyomu, omi, epo, ẹyin, ilẹ"
onion pest thrip maggot silver leaf downy mildew,"Thrips cause a silvery appearance on onion leaves. Control with Endosulfan or Malathion. Downy mildew shows as a furry violet coating; control by spraying Ferbam or Zineb."
onion harvest cure store bulb neck fall bamboo grass,"Harvest onions when the necks become soft and tops fall over, but before they dry completely. Cure them in the field. For low-cost storage, use bamboo or wood stacks stuffed with dry grass; they can store for up to 6 months."
local chicken free range house semi intensive perch nest litter,"Adopt a semi-intensive system for local chickens. Build a well-ventilated house using mud or bamboo. Provide dry litter (wood shavings), perches placed 35cm apart, and laying nests (25x30x35cm) for egg collection."
local chicken feed supplement range scavenge grain ash,"Free-range chickens pick up 60% of their diet (insects/greens) during the rainy season. Supplement their diet with 45-60g of feed daily using a mix of maize, offals, bone ash, and wood ash."
local chicken disease newcastle twist neck diarrhea red eye vaccinate,"Newcastle disease is the biggest killer of local chickens (symptoms: twisting neck, red eyes, diarrhea). Since treatment is ineffective, prevention through vaccination (like thermostable NDV vaccine) is mandatory."
local chicken parasite lice tick mite feather peck dust,"External parasites (lice, mites, ticks) cause chickens to lose weight and peck their feathers. Control this by regularly dusting the birds with poultry dusting powder like Sevin or Asuntol."
tomato harvest store fresh refrigerate paper bag,"Harvest tomatoes when fully ripe, or at 60-80% ripeness and ripen indoors in a paper bag (not plastic). Do not refrigerate fresh tomatoes as it causes rapid flavor loss."
tomato sun dry slice tray net galvanized moisture powder,"To sun-dry tomatoes, cut into 0.5cm slices. Spread on non-galvanized trays (acid reacts with metal). Cover with mosquito netting, turn daily, and bring indoors at night to prevent moisture reabsorption."
tomato processing preserve jam paste sterilize bottle boil mould,"To preserve tomato paste or jam, sterilize glass bottles by boiling for 5 minutes. In tomato jam, mould growth on the surface indicates that not enough sugar was added."
snail breed species giant marginata achatina mature stock,"For snail farming in Nigeria, use giant species like Archachatina marginata or Achatina achatina. Select fully grown, large snails with strong shells that fill their shells. Do not mix different species in the same pen."
snail soil moisture environment temperature wind,"Snails require damp, medium-light soil rich in humus and calcium (for shell formation). Avoid hard clay or loose sand. Protect the farm from strong winds to prevent dehydration, and keep temperatures between 10-23°C."
snail pen hutch trench fence stock density,"Build outdoor pens (5x5m) with fences buried 0.4m deep to keep out predators. Alternative housing includes hutch boxes under shade trees or 50cm deep trench pens. Stock at a density of 15 to 25 mature snails per square metre to avoid overcrowding."
snail feed eat leaf fruit salt predator ant,"Snails are nocturnal and eat up to 10 times their weight daily. Feed them green leaves (cocoyam, cassava), ripe fruits (pawpaw, mango), or poultry mash. Keep common salt away as it is poisonous. Protect from termites, soldier ants, and rats."
snail harvest store mature reproduce egg hatch,"Snails take 12 to 24 months to mature and are ready for harvest when they reach about 200g. Harvest by hand at night or when wet. Store live harvested snails in sawdust or chipped maize husks for 6 to 8 weeks."
2019 wet season performance flood rain constraint labour,"The 2019 NAERLS Agricultural Performance survey noted that flooding, high labour costs, low farm mechanization, and insecurity were major constraints. Floods affected over 25 states, destroying at least 25% of crops in affected areas."
tractor mechanization extension e-wallet helpline,"To combat low agricultural yields and extension shortages, the NAERLS 2019 report recommends Public-Private Partnerships for tractor hiring, expanding e-extension through the National Farmers Helpline Centre, and distributing subsidized inputs via an e-Wallet system."
security farm herder clash banditry livestock transformation,"Insecurity, including banditry and herder-farmer clashes, severely constrained farming in 2019. The government's Livestock Transformation Plan (LTP) aims to transition pastoralists into intensive production clusters to resolve these conflicts."
