id,crop,topic,keywords,content,source_title,source_url,source_page,verified
naerls_0001,cassava,official_extension_bulletin,cassava constraints traditional processing packaging storage channel marketing produce references table varieties characteristics new compound fertilizer bags plate grating machine hydraulic press drying frying gari bagging storing,"Constraints in Traditional Cassava Processing ---------------- 28
Packaging and Storage----------------------------------------------29
Channel of marketing of Cassava Produce-------------------- 29
References ----------------------------------------------------------- 31 TABLE
Table1a. Varieties of cassava and their characteristics -------5
Table1b. New Cassava varieties ----------------------------------6
Table 2. Compound fertilizer for cassava (bags/ha) ---------13 PLATE
Plate A. cassava grating machine------------------------------------20
Plate B. hydraulic press for drying ----------------------------------21
Plate C. Frying cassava into gari ------------------------------------21
Plate D. Bagging of gari for storing---------------------------------22","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,3,official_naerls_bulletin
naerls_0002,cassava,official_extension_bulletin,cassava figure land preparation ridges planting methods matured plant ready harvest harvesting tubers flow chart high quality flour production hqcf starch chips processing gari akpu fufu value chain,"FIGURE
Figure 1. Land Preparation in ridges----------------------------------4
Figure 2. Planting Methods---------------------------------------------8
Figure 3. Matured Plant ready for harvest---------------------------16
Figure 4. Harvesting of cassava tubers-------------------------------17
Figure 5. Flow chart for high quality cassava
flour production (HQCF)-----------------------------------------------23
Figure 6. Flow chart for starch production ------------------------ 24
Figure 7. Flow chart of cassava chips production ------------------25
Figure 8. Flow chart for processing gari----------------------------- 26
Figure 9. Flow chart for processing Akpu (Fufu)-------------------27
Figure 10. Cassava value chain----------------------------------------30","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,3,official_naerls_bulletin
naerls_0003,cassava,official_extension_bulletin,cassava introduction site selection manihot spp dicotyledonous plant belonging tolerates poor soils usually unsuitable most other crop like family euphobiaceae root unlike yam diosiorca maize produces some yield even when abandoned without adequate tuber native central america management high tubers requires well drained introduced west,"Introduction SITE SELECTION
Cassava (Manihot spp) is a dicotyledonous plant belonging to the Cassava tolerates poor soils usually unsuitable for most other crop like
family Euphobiaceae. Cassava is a root crop unlike yam (Diosiorca maize. It produces some yield even when abandoned without adequate
spp) that is a tuber crop. It is native to Central America. Cassava was management. For high yield of tubers, cassava requires well-drained
introduced to West Africa by Portuguese explorers in the 16th and 17th and deep soil that is not stony or gravelly. It can also thrive in poor
centuries. In Nigeria, it was introduced at Warri, Yenagoa, Calabar and soils (marginal soils).
Owerri about the same time.
It is an important food staple and industrial crop in Nigeria. Cassava is PRODUCTION
also important as a major source of income for rural households. Production Inputs
Nigeria is currently the largest producer of cassava in the world with The essential materials needed for optimum production of cassava
an annual production of over 54tons from an estimated land area of 1.4 include;
million hectares.  Land
The crop’s production generally requires less labour per unit of output  Planting material (cassava stem cuttings) of appropriate
than other major staple crops in Nigeria. It can grow and give varieties
reasonable yields in relatively poor soil and low rainfall areas. Owing  Capital
to these attributes it has become a critical food security crop in  Labour
Nigeria.  Agro-chemicals e.g herbicides, inorganic and organic fertilizers
Cassava has underground roots that are consumed by man after  Farm tools e.g hoe, cutlass, knife, or saw, plough, harrow,
processing. A few varieties exist that can be eaten raw. The root is also ridger, tractor, and wheelbarrow.
rich in carbohydrates and readily fed to livestock’s. In recent times,
  Technical know-how (Technology)
government has encouraged the processing of the crop into a wide
range of industrial products such as ethanol, glue, poultry feed,
 Processing Inputs
glucose syrup and bread. The demands for these products are on the These are tools used for processing cassava tubers into various forms
increase and Government’s interest in cassava research is also for utilization. These include;
increasing with strong emphasis on increased productivity and
  Material e.g knives and machines (where available)
diversification of uses.
  Washing equipments (bowls and machines where available)
Average yield of 5-9t/ha in farmers’ field indicates that the crop is
poorly managed as both demonstrated potential and experimental  Graters (manual or machines)
yields are 400% and 250% respectively above farmers’ yields. These  Dewatering facilities – sticks or machines (manual or
could be attributed to inadequate information that accrues from use of mechanical (where available)
low yielding planting materials, pest and diseases and poor farming  Toasters-manual or mechanical (where available)
practices by farmers. The purpose of this bulletin is to highlight
recommendations from research for high cassava yield, efficient Transportation Inputs
processing and utilization in Nigeria.  Lorries, trucks, rail, marine transportation, donkeys etc
  Motorcycles, bicycle etc","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,4,official_naerls_bulletin
naerls_0004,cassava,official_extension_bulletin,cassava wheel barrows harrow fine tilt marketing inputs make meter ridges these materials distributing tied mounds straight line products namely flat loosening spots hoe cutlass stores spade bags ridging mounding essential soils which hard shallow basins poorly drained facilitates root penetration development markets buyers sellers," Wheel barrows  Harrow to fine tilt
Marketing Inputs  Make 1 meter ridges
These are materials used for distributing and marketing cassava  Make tied mounds in a straight line.
products, namely;  Flat with loosening of the spots with hoe, cutlass or
 Stores spade
 Bags Ridging or mounding is essential in soils which are hard, shallow or
 Basins poorly drained. Ridging facilitates root penetration, root development
 Markets (buyers and sellers) and farm operations like fertilizer application and weeding as well as
 Consumers harvesting (Fig. 1).
Land Preparation Making ridges or mounds across the slope and in valleys bottom help
Good production requires good land preparations which depend on: to control water logging and erosion since ridges and mounds are
 Climate usually higher than both the permanent and temporary water fables.
 Soil type
 Vegetation
 Topography
 Good management practices
Traditionally after clearing the forest in rainforest ecological zone of
Nigeria, no land preparation is required other than the removal of
shrubs vines, and cutting off branches of large trees to admit sunlight.
As soon as the rain is established, farmers loosen the soil with a hoe,
planting stick, or sharp instrument before placing the cassava cuttings
and cover back with soil.
Good seed bed preparation is necessary in cassava production. Fig. 1. Land prepared in ridges
In the west, south and eastern agro-ecological zones land preparation
is carried out between March to early May while in the Northern part it Recommended Cassava Varieties
is done in early June to July. Use of poor yielding varieties has been a major factor contributing to
Before planting the land is cleared, raked and do controlled burning of the low yields in farmers’ fields. Varieties have been bred and selected
the trashes if the trash is too much to be handled or spray with based on outstanding attributes like root yield, pests and diseases
herbicide if it is mainly grass vegetation. Alternatively, after bush resistance/tolerance, high dry matter and food quality. The following
clearing and burning, farmers usually practice stumping in the forest cassava varieties and their characteristics are presented in Tables 1a
vegetation. and 1b
After creating a good soil environment, the land is prepared into;
  Ridges and mounds up to 30 - 60 cm high
  Deep plough to soil depth (25 – 30cm).","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,5,official_naerls_bulletin
naerls_0005,cassava,official_extension_bulletin,cassava table varieties new characteristics pedigree days potent plant height variety ial branches cassav branchi canopy ecologic pests fres dry gar starc hcn matu post habit developm disease matt product ent adaptati resistan roo yiel yield rity tme gbase koute tall appreciable tms moderate low,"Table 1a. VARIETIES OF CASSAVA AND THEIR Table 1b. New Cassava Varieties
 CHARACTERISTICS
 CASSAVA PEDIGREE DAYS POTENT PLANT HEIGHT
 VARIETY OF IAL BRANCHES
Cassav Branchi Canopy Ecologic Pests & Fres Dry Gar Starc Hcn in
 MATU POST
a ng habit developm al disease h Matt ri h Product
variety ent adaptati resistan Roo er Yiel Yield s RITY YIELD
 on ce t Yield d (%) (mg/100 TME 419 Gbase koute 12 35.2 t/ha Tall (3-4m) Not appreciable
 Yiel 80(c (%) g) op
 d m) TMS TMS 30 572 12 31.8 t/ha Moderate in Low (about 0.5m)
TMS Profuse Moderate Wide High 43 25 23 23 15.5 97/2205 x TME 6 height (about
90257 2m)
TMS Moderat Sparse Wide High 35 28 18 27 6.3 TMS 9+DTP REP 12 45.5 t/ha Moderate in Low (about 0.5m)
84537 e
 98/0505 2 bulk height (about
TMS Profuse Moderate Wide High 35 28 21 26 6.4
82/000 2m)
56 TMS 97 DTP REP 12 37.5 t/ha Moderate in Moderately high
TMS Profuse Moderate Wide High 39 30 22 26 4.1 98/0510 2 bulk height (about (about 1.2m)
82/006 2.5m)
61 TMS MPR POP 1 12 47.3 t/ha Tall (about 0.5-1.0m
NR Profuse Moderate Wide High 27 37 25 21 High 98/0581 bulk 3m)
8212 TMS (TMS 30555 12 30.7T/Ha Tall (2-3m) Low (1.0-1.3m)
NR Profuse Profuse Wide High 32 32 22 19 High
 92/0057 X TME 1)
8082
 HS
TMS Moderat Moderate Wide Moderat 36 29 24 12 High
50395 e e TMS (PMS 91934 10-12 39.5 t/ha Tall (2-3m) Low (0.7-2.6m)
TMS Moderat Moderate Wide Moderat 16 28 23 22 Low 92/0326 X TME
3001 e e 1)HS
NR Profuse Moderate Wide Moderat 26 32 25 23 High TMS TMS 12 43.2 t/ha Tall (about High (about
8208 e 96/1632 94/0325 X 3m) 1.5m)
NR Profuse Moderate Wide High 31 43 36 25 High TME 7
8083 TMS 97 DTP REP 10-12 48.4 t/ha Moderate in Low (about 0.5m)
TMS Profuse Moderate Wide High 28 31 24 25 4.5
 98/002 1 height (2m)
81/001
10 NR 87184 83 DTP REP 10-12 34.6 t/ha Tall about Low (0.1-1.1m)
TMS Moderat Sparse Wide Moderat 32 34 26 21 High 1 (3m)
91934 e e Pro-Vit A Umucass’ 8-12 35.4 t/ha Moderate in
TMS Profuse Profuse Wide Moderat 27 34 25 24 750 eries height (about
30572 e 2.5m)
TMS Moderat Profuse Savanna Moderat 26 36 25 22 31
4(2)14 e e
 Source NRCRI (2000)
25
TMS Moderat Profuse Wide Moderat 17 32 24 20 High
30555 e e
 Climate and Soil Requirement
NR Profuse Moderate Wide High 22 31 22 19 High Cassava requires a temperature of 21oC-35oC, rainfall of 150-200 cm,
83107 a well-drained, rich, friable, loamy soil. It can also grow in poor soil.
NR Moderat Profuse Forest Moderat 37 34 25 23 High
41044 e e","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,6,official_naerls_bulletin
naerls_0006,cassava,official_extension_bulletin,cassava planting materials all zones however known tropical rainforest zone flower produce seeds grown year round determining factor currently stem called cuttings availability water even drier savanna planted cutting sometimes regarded vegetative irrigation although drought propagation mainly resistant tolerant withstand months breed new varieties ensure,"Planting Materials in all zones. It is however known that in the tropical rainforest zone,
Cassava can flower and also produce seeds but the seeds are not cassava can be grown all year round. The determining factor is the
currently being used for planting. It is the stem-called cuttings that are availability of water. Even in the drier savanna, cassava can be grown
planted. The use of cutting is sometimes regarded as vegetative all year round using irrigation. Although cassava is drought
propagation of cassava. The seeds of cassava are mainly being used to resistant/tolerant and can withstand 6 months of drought after
breed new varieties. Ensure that you select the variety suitable to your establishment.
location which also has the desired attributes. The quality and yield of Method of Planting
cassava depends on the quality of the sticks or cuttings and variety Planting of cassava cuttings could be vertical, slanting (at an angle) or
planted, the management practice adopted and the locality where it has horizontal (Fig. 2). Vertically planting of cassava cuttings is not
been planted. It is advised that cuttings should be obtained from recommended as this method encourage drying of cuttings and usually
reliable source. has poor root development and establishment. The best recommended
Cassava stem or cutting quality depends on:- method is slanting or horizontal. By this method 2/3 of cuttings are buried
 Age of stem:- The best cuttings for planting are obtained from and planted at inclined angle of about 450 and ensure that the buds point
 plants 6 – 12 months old. upwards from where the stem sprouts. While in horizontal method all the
 Thickness:- Recommended pith diameter is equal to or less cuttings are buried and covered with soil which always give rise to more
 than 50% of the stem. than two sprouting. Where it becomes necessary to plant later than the
 Health of Stems:- Ensure that stems are healthy and good recommended time and to eliminate dipping stakes in insecticides against
 sprouting and establishment. cassava mealy bug (CMB) and cassava green spider mite (CGM), bury
 Number of Nodes:-Cut stem such that each cutting has about 5 the cuttings completely in the soil (horizontally) at a depth of about 5 cm.
 – 7 nodes. Deep planting makes harvesting difficult and increases production costs.
 In dry sandy soils plant cassava cuttings deep; in moist and heavy soils,
 Stem Portion:- Middle portions establish better than the tips
 plant shallow.
 and basal portions.
 Stem Storage:- Store cassava stems under shade for 4- 10
 days before cutting and planting. This processes makes stem
 sprout faster than if planted immediately when freshly cut from
 the field.","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,7,official_naerls_bulletin
naerls_0007,cassava,official_extension_bulletin,cassava planting date best time plant established various ecological zone set first rains year depends cropping systems however planted march october all agro zones except northern nigeria done may july ensure cuttings well before dry fig methods season these covers period usually described rainy source,"Planting Date
The best time to plant cassava has been established for the various
ecological zone at the on-set of the first rains of the year and it
depends on the cropping systems. However, cassava is planted
between March and October in all the agro-ecological zones. Except
Northern zones of Nigeria, planting is done between May and July to
ensure that cuttings are well established before the on-set of dry Fig. 2. Planting methods
season. These covers the period usually described as the rainy season Source: IITA","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,7,official_naerls_bulletin
naerls_0008,cassava,official_extension_bulletin,cassava spacing integrated method cuttings planted either flats ridges mounds due erect none branching property some variety cultural like tme close apart give involves hoe any local tools well hand pulling higher plant population control weed very effective small farms done weeks planting period canopies,"Spacing  Integrated method
Cassava cuttings are planted at 1m x 1m spacing either on flats, ridges
or mounds. Due to erect (none branching) property of some variety Cultural Method
like. TME 419 spacing can be as close as 100cm x 75cm apart to give This involves using of Hoe or any local tools as well as hand pulling to
a higher plant population/ha. control weed and is very effective in a small farms. It is done at 4, 8
 and 12 weeks after planting. After this period, the canopies of the
Seed Rate and Plant Population cassava have fully developed and covered the ground to smother the
It is recommended to plant cassava stems one meter apart with 50 weeds. Slashing may be done if necessary before harvesting.
stems of 1 m each of 50 bundles of stem cuttings per ha. This gives a
plant population of 10,000 stands per hectare. This spacing is Biological Method
convenient and practicable both for mechanization and inter-cropping. This method makes use of “in situ” live mulch in the form of cover
 crop. By this way, cover crops such as egusi, cowpea, sweet potato,
Cropping Pattern mucuna, groundnut and soybean grown during the season prior to
Cassava can be grown as a sole crop. It can also be grown cassava cultivation help to suppress weeds. Cassava cuttings can be
(intercropped) with principal staples, such as yam, cocoyam, sweet planted directly into the mulch cover with little or no land clearing.
potato, maize, melon, cowpea, soybean and plantain. Cassava can also Appropriate inter crops can significantly reduce weeding frequencies
be grown with permanent crops like oil palm, rubber, cashew and and weed intensity. Intercropping with leguminous species (cowpea,
cocoa within the first few years of the establishment before their groundnut and soybean) has the additional benefits of soil
canopies cover and the permanent crops fully take over. improvement and fixing of nitrogen in the soil.","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,8,official_naerls_bulletin
naerls_0009,cassava,official_extension_bulletin,cassava genetic method weed management early branching varieties yield usually reduced delay control slow initial develop canopies which reduce growth development make very susceptible when interference during first months planting uncontrolled sprouts vigorous reduces loss crops free due short could result monetary weeds must good,"Genetic Method
Weed Management Use of Early-Branching Varieties:-
Cassava yield is usually reduced by delay of weed control. Slow initial Early-branching varieties develop canopies which reduce weed growth
growth and development make the cassava very susceptible to weed when:
interference during the first 3-4 months after planting. Uncontrolled  Sprouts are vigorous,
weed growth in cassava reduces the yield by 80 % /ha loss which  Crops are weed free in the first 3-4 months due to short growth
could result to a monetary loss of up to N30,000.00. Weeds must be with good canopy from the branches
controlled during the first 8 – 12 weeks from planting. This period is  Plant density is higher than 10,000 plants/ha
referred to as “the critical period of weed interference”.  Plants are free from disease and pests due to high genetic make
Any of or combination of the following methods can be used to control up.
weeds in cassava.  Environment and soil fertility are favourable.
 Cultural method Weed competition reduces branches, canopy and root development as
 Biological method well as overall crop yield. Yield reduction varies from 40% in early-
 Genetic method branching cultivars to 70% in late or non-branching cultivars. When
 Chemical method canopies do not provide sufficient cover, weed problems become","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,8,official_naerls_bulletin
naerls_0010,cassava,official_extension_bulletin,cassava severe weeds habour disease organisms pests integrated weed management predispose crop subsequent infections like control long term imperatacylindrica spear grass only compete resources approach combination techniques such pierce roots create entry points rot causing physical chemical biochemical cultural pathogen method reduces chances species early,"severe. Weeds also can habour disease organisms and pests that Integrated Weed Management
predispose the crop to subsequent infections. Weeds like This is the control of weeds through a long-term management
Imperatacylindrica (spear grass) not only compete for resources, but approach, using a combination of weed management techniques such
also pierce cassava roots and create entry points for rot-causing as physical control, chemical control, biochemical control or cultural
pathogen. control. This method reduces the chances of weed species being
The early branching varieties effectively suppress early weed growth adapted to a particular control technique, which is likely to occur if
at the time when the cassava plant is vulnerable to weed competition only one technique is used. For an example, if a herbicide is used over
during the first 3-4 months of crop growth due to good canopy a long period of time, a weed species can build up a resistance to the
produced from the branches. chemical. Examples of integrated weed management include;
  Combining one hand weeding with the use of an improved
Chemical Method variety, planted at optimum density.
Several pre-emergency herbicides have been identified for weed  Combining a pre-emergence herbicide with late weeding.
control in sole cassava farms.
 Fluometuron at 2.0 kg ai/ha Fertilizer and Fertilizer Application
 Diuron at 3.0 kg ai/ha Cassava has an extensive root system and uses plant nutrients which
 Chloramben at 1.5-3kg ai/ha (as the case may be). are not easily accessible to other crops. In traditional farming, farmers
 Formulated mixture of flumeturon + metolachlor (2 + 2 kg/ha) can obtain yields of up to 5.6t/ha without fertilizer on soil that would
 Metobromuron and metolachlor (2 + 2 kg/ha) not support other crops.
 Fluometuron and Pendimethalin ( 2 + 2 kg/ha) Any compound fertilizer – NPK 15:15:15, 20:10:10; 25:10:10,
 Primextra (Pre-mix of Atrazine + Metolachlor (2 – 3 kg/ha) 27:13:13 or any other planting. Applying ring form around the cassava
The following pre-emergence herbicides can equally be used in mixed stands. One match box full of fertilizer is enough for one stand of
cassava plots cassava. One level of standard (normal) peak milk container is enough
 Diorun + Paraquat at 4-5 l/ha for five stands of cassava and these are equivalent to 400kg/ha of NPK
 (15:15:15 or 10:10:20 (8 bags) which is ideal or recommended for a
 Pumetra at 4-5 l/ha
 normal/standard soil. However, for good yield of roots from a fairly
Herbicides are most effective when applied before weed emergence in
 rich soil, Table 1 shows the number of bags/ha of various compound
the field. When planting or weed control is delayed such that weeds
 fertilizers per hectare.
become visible, mix post-mergence herbicide with a systemic
herbicide such as Glyphosate. By this way, the contact herbicide will
take care of the already emerged weeds.
Herbicides are cost effective when available in appropriate quantities,
and when cassava fields are too large to be weeded by hand (manual).","NAERLS Cassava Production, Processing and Utilization in Nigeria",https://naerls.gov.ng/wp-content/uploads/2022/11/CASSAVA-Production-Processing-and-utilization.pdf,9,official_naerls_bulletin
